value,name
DA Warner,DA Warner
S Dhawan,S Dhawan
MC Henriques,MC Henriques
Yuvraj Singh,Yuvraj Singh
DJ Hooda,DJ Hooda
BCJ Cutting,BCJ Cutting
CH Gayle,CH Gayle
Mandeep Singh,Mandeep Singh
TM Head,TM Head
KM Jadhav,KM Jadhav
SR Watson,SR Watson
Sachin Baby,Sachin Baby
STR Binny,STR Binny
S Aravind,S Aravind
YS Chahal,YS Chahal
TS Mills,TS Mills
A Choudhary,A Choudhary
PA Patel,PA Patel
JC Buttler,JC Buttler
RG Sharma,RG Sharma
N Rana,N Rana
AT Rayudu,AT Rayudu
KH Pandya,KH Pandya
KA Pollard,KA Pollard
HH Pandya,HH Pandya
TG Southee,TG Southee
AM Rahane,AM Rahane
MA Agarwal,MA Agarwal
SPD Smith,SPD Smith
BA Stokes,BA Stokes
MS Dhoni,MS Dhoni
JJ Roy,JJ Roy
BB McCullum,BB McCullum
SK Raina,SK Raina
AJ Finch,AJ Finch
KD Karthik,KD Karthik
G Gambhir,G Gambhir
CA Lynn,CA Lynn
MK Tiwary,MK Tiwary
DT Christian,DT Christian
HM Amla,HM Amla
M Vohra,M Vohra
WP Saha,WP Saha
AR Patel,AR Patel
GJ Maxwell,GJ Maxwell
DA Miller,DA Miller
Vishnu Vinod,Vishnu Vinod
Iqbal Abdulla,Iqbal Abdulla
P Negi,P Negi
AP Tare,AP Tare
SW Billings,SW Billings
KK Nair,KK Nair
SV Samson,SV Samson
RR Pant,RR Pant
CH Morris,CH Morris
CR Brathwaite,CR Brathwaite
PJ Cummins,PJ Cummins
A Mishra,A Mishra
S Nadeem,S Nadeem
Z Khan,Z Khan
DR Smith,DR Smith
DS Kulkarni,DS Kulkarni
P Kumar,P Kumar
Basil Thampi,Basil Thampi
RV Uthappa,RV Uthappa
MK Pandey,MK Pandey
YK Pathan,YK Pathan
SA Yadav,SA Yadav
CR Woakes,CR Woakes
SP Narine,SP Narine
Harbhajan Singh,Harbhajan Singh
AB de Villiers,AB de Villiers
CJ Anderson,CJ Anderson
F du Plessis,F du Plessis
RA Tripathi,RA Tripathi
R Bhatia,R Bhatia
DL Chahar,DL Chahar
A Zampa,A Zampa
AB Dinda,AB Dinda
Imran Tahir,Imran Tahir
NV Ojha,NV Ojha
V Shankar,V Shankar
Rashid Khan,Rashid Khan
B Kumar,B Kumar
MP Stoinis,MP Stoinis
MM Sharma,MM Sharma
VR Aaron,VR Aaron
V Kohli,V Kohli
MJ McClenaghan,MJ McClenaghan
Ankit Sharma,Ankit Sharma
SN Thakur,SN Thakur
RD Chahar,RD Chahar
LH Ferguson,LH Ferguson
C de Grandhomme,C de Grandhomme
Bipul Sharma,Bipul Sharma
SS Iyer,SS Iyer
EJG Morgan,EJG Morgan
KC Cariappa,KC Cariappa
Sandeep Sharma,Sandeep Sharma
Ishan Kishan,Ishan Kishan
JD Unadkat,JD Unadkat
AF Milne,AF Milne
S Badree,S Badree
AD Mathews,AD Mathews
Mohammed Shami,Mohammed Shami
Mohammad Nabi,Mohammad Nabi
I Sharma,I Sharma
RA Jadeja,RA Jadeja
AJ Tye,AJ Tye
KS Williamson,KS Williamson
SE Marsh,SE Marsh
Shakib Al Hasan,Shakib Al Hasan
JP Faulkner,JP Faulkner
MG Johnson,MG Johnson
K Rabada,K Rabada
AD Nath,AD Nath
NM Coulter-Nile,NM Coulter-Nile
Kuldeep Yadav,Kuldeep Yadav
UT Yadav,UT Yadav
Washington Sundar,Washington Sundar
KV Sharma,KV Sharma
DM Bravo,DM Bravo
AR Bawne,AR Bawne
SP Jackson,SP Jackson
MJ Guptill,MJ Guptill
Anureet Singh,Anureet Singh
IK Pathan,IK Pathan
Ankit Soni,Ankit Soni
JJ Bumrah,JJ Bumrah
SL Malinga,SL Malinga
PJ Sangwan,PJ Sangwan
S Kaul,S Kaul
LMP Simmons,LMP Simmons
MN Samuels,MN Samuels
Swapnil Singh,Swapnil Singh
R Tewatia,R Tewatia
MM Patel,MM Patel
SS Tiwary,SS Tiwary
TA Boult,TA Boult
CJ Jordan,CJ Jordan
IR Jaggi,IR Jaggi
PP Chawla,PP Chawla
AS Rajpoot,AS Rajpoot
SC Ganguly,SC Ganguly
RT Ponting,RT Ponting
DJ Hussey,DJ Hussey
Mohammad Hafeez,Mohammad Hafeez
R Dravid,R Dravid
W Jaffer,W Jaffer
JH Kallis,JH Kallis
CL White,CL White
MV Boucher,MV Boucher
B Akhil,B Akhil
AA Noffke,AA Noffke
SB Joshi,SB Joshi
ML Hayden,ML Hayden
MEK Hussey,MEK Hussey
JDP Oram,JDP Oram
S Badrinath,S Badrinath
K Goel,K Goel
JR Hopes,JR Hopes
KC Sangakkara,KC Sangakkara
SM Katich,SM Katich
T Kohli,T Kohli
M Kaif,M Kaif
DS Lehmann,DS Lehmann
M Rawat,M Rawat
D Salunkhe,D Salunkhe
SK Warne,SK Warne
SK Trivedi,SK Trivedi
V Sehwag,V Sehwag
L Ronchi,L Ronchi
ST Jayasuriya,ST Jayasuriya
DJ Thornely,DJ Thornely
PR Shah,PR Shah
AM Nayar,AM Nayar
SM Pollock,SM Pollock
S Chanderpaul,S Chanderpaul
LRPL Taylor,LRPL Taylor
AC Gilchrist,AC Gilchrist
Y Venugopal Rao,Y Venugopal Rao
VVS Laxman,VVS Laxman
A Symonds,A Symonds
SB Styris,SB Styris
AS Yadav,AS Yadav
SB Bangar,SB Bangar
WPUJC Vaas,WPUJC Vaas
RP Singh,RP Singh
LR Shukla,LR Shukla
DPMD Jayawardene,DPMD Jayawardene
S Sohal,S Sohal
B Lee,B Lee
WA Mota,WA Mota
Kamran Akmal,Kamran Akmal
Shahid Afridi,Shahid Afridi
DJ Bravo,DJ Bravo
MA Khote,MA Khote
A Nehra,A Nehra
GC Smith,GC Smith
Pankaj Singh,Pankaj Singh
RR Sarwan,RR Sarwan
S Sreesanth,S Sreesanth
VRV Singh,VRV Singh
R Vinay Kumar,R Vinay Kumar
AB Agarkar,AB Agarkar
M Kartik,M Kartik
Shoaib Malik,Shoaib Malik
MF Maharoof,MF Maharoof
VY Mahesh,VY Mahesh
TM Srivastava,TM Srivastava
B Chipli,B Chipli
DW Steyn,DW Steyn
DB Das,DB Das
HH Gibbs,HH Gibbs
DNT Zoysa,DNT Zoysa
D Kalyankrishna,D Kalyankrishna
SA Asnodkar,SA Asnodkar
Sohail Tanvir,Sohail Tanvir
Salman Butt,Salman Butt
BJ Hodge,BJ Hodge
Umar Gul,Umar Gul
SP Fleming,SP Fleming
S Vidyut,S Vidyut
JA Morkel,JA Morkel
LPC Silva,LPC Silva
DB Ravi Teja,DB Ravi Teja
Misbah-ul-Haq,Misbah-ul-Haq
YV Takawale,YV Takawale
RR Raje,RR Raje
Mohammad Asif,Mohammad Asif
GD McGrath,GD McGrath
Joginder Sharma,Joginder Sharma
MS Gony,MS Gony
